yearID,processID,pollutantID,inventory,activity,emissionRate,massUnits,distanceUnits,startUnits,rateUnits
2037,2,3,72513025.91,,3.50009E-05,kg,mi,start,kg/start
2037,2,87,91289962.55,,4.40642E-05,kg,mi,start,kg/start
2037,2,91,491822935.1,,0.000237395,MMBTU,mi,start,MMBTU/mi
2037,2,100,7609885.288,,3.67317E-06,kg,mi,start,kg/start
2037,2,110,6736202.764,,3.25146E-06,kg,mi,start,kg/start
2038,1,2,2691864023,,0.001290454,kg,mi,start,kg/start
2038,1,3,28438168.42,,1.3633E-05,kg,mi,start,kg/start
2038,1,87,78059259.99,,3.74209E-05,kg,mi,start,kg/start
2038,1,91,8120145186,,0.00389272,MMBTU,mi,start,MMBTU/mi
2038,1,100,86478024.21,,4.14567E-05,kg,mi,start,kg/start
2038,1,110,13614401.97,,6.52661E-06,kg,mi,start,kg/start
2038,2,2,981363638.8,,0.000470456,kg,mi,start,kg/start
2038,2,3,71599972.75,,3.43243E-05,kg,mi,start,kg/start
2038,2,87,90182552.61,,4.32327E-05,kg,mi,start,kg/start
2038,2,91,492786854.1,,0.000236237,MMBTU,mi,start,MMBTU/mi
2038,2,100,7629199.749,,3.65737E-06,kg,mi,start,kg/start
2038,2,110,6753382.819,,3.23751E-06,kg,mi,start,kg/start
2039,1,2,2621801147,,0.00124816,kg,mi,start,kg/start
2039,1,3,25968854.1,,1.2363E-05,kg,mi,start,kg/start
2039,1,87,77671990.14,,3.69773E-05,kg,mi,start,kg/start
2039,1,91,8122930876,,0.00386708,MMBTU,mi,start,MMBTU/mi
2039,1,100,87026946.63,,4.14309E-05,kg,mi,start,kg/start
2039,1,110,13665641.61,,6.5058E-06,kg,mi,start,kg/start
2039,2,2,969113943.4,,0.000461366,kg,mi,start,kg/start
2039,2,3,70841110.88,,3.37253E-05,kg,mi,start,kg/start
2039,2,87,89357547.65,,4.25404E-05,kg,mi,start,kg/start
2039,2,91,493889971.7,,0.000235126,MMBTU,mi,start,MMBTU/mi
2039,2,100,7645848.125,,3.63996E-06,kg,mi,start,kg/start
2039,2,110,6768193.629,,3.22213E-06,kg,mi,start,kg/start
2040,1,2,2560671079,,0.001210591,kg,mi,start,kg/start
2040,1,3,23965380.29,,1.133E-05,kg,mi,start,kg/start
2040,1,87,77263367.26,,3.65273E-05,kg,mi,start,kg/start
2040,1,91,8134970924,,0.003845916,MMBTU,mi,start,MMBTU/mi
2040,1,100,87579434.37,,4.14043E-05,kg,mi,start,kg/start
2040,1,110,13715774.17,,6.48432E-06,kg,mi,start,kg/start
2040,2,2,959167422,,0.000453459,kg,mi,start,kg/start
2040,2,3,70307705.71,,3.32389E-05,kg,mi,start,kg/start
2040,2,87,88639901.54,,4.19057E-05,kg,mi,start,kg/start
2040,2,91,495354819.9,,0.000234186,MMBTU,mi,start,MMBTU/mi
2040,2,100,7668972.136,,3.62561E-06,kg,mi,start,kg/start
2040,2,110,6788731.284,,3.20946E-06,kg,mi,start,kg/start
